grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center
나라557410,1,0,0,0,0,신안군,855750.0,1641050.0
나라557416,1,0,0,0,0,신안군,855750.0,1641650.0
나라558412,1,0,0,0,0,신안군,855850.0,1641250.0
나라559410,4,1,1,0,0,신안군,855950.0,1641050.0
나라559411,2,0,0,0,0,신안군,855950.0,1641150.0
나라559417,2,0,0,0,0,신안군,855950.0,1641750.0
나라560345,1,0,0,0,0,신안군,856050.0,1634550.0
나라560410,4,0,0,0,0,신안군,856050.0,1641050.0
나라560411,13,2,0,0,1,신안군,856050.0,1641150.0
나라560412,3,5,0,10,0,신안군,856050.0,1641250.0
나라561410,6,11,1,0,2,신안군,856150.0,1641050.0
나라561411,1,0,0,0,0,신안군,856150.0,1641150.0
나라561412,4,0,0,0,0,신안군,856150.0,1641250.0
나라562407,2,0,0,0,0,신안군,856250.0,1640750.0
나라562409,5,5,0,0,3,신안군,856250.0,1640950.0
나라562410,2,0,0,0,0,신안군,856250.0,1641050.0
나라562416,1,0,0,0,1,신안군,856250.0,1641650.0
나라563390,1,0,0,0,0,신안군,856350.0,1639050.0
나라563410,1,0,0,0,0,신안군,856350.0,1641050.0
나라563412,2,0,0,0,0,신안군,856350.0,1641250.0
나라564374,1,0,0,0,0,신안군,856450.0,1637450.0
나라564375,1,2,0,0,0,신안군,856450.0,1637550.0
나라564403,1,0,0,0,0,신안군,856450.0,1640350.0
나라565373,1,0,1,0,0,신안군,856550.0,1637350.0
나라565430,1,0,0,0,0,신안군,856550.0,1643050.0
나라566367,1,0,0,2,0,신안군,856650.0,1636750.0
나라566373,2,0,0,0,0,신안군,856650.0,1637350.0
나라567362,1,0,0,0,0,신안군,856750.0,1636250.0
나라567363,2,0,0,0,1,신안군,856750.0,1636350.0
나라567364,1,1,0,0,0,신안군,856750.0,1636450.0
나라567365,3,0,0,0,0,신안군,856750.0,1636550.0
나라567366,1,0,0,0,0,신안군,856750.0,1636650.0
나라567367,10,6,0,6,1,신안군,856750.0,1636750.0
나라567433,1,0,0,0,0,신안군,856750.0,1643350.0
나라568361,1,0,0,0,0,신안군,856850.0,1636150.0
나라568365,1,0,0,2,0,신안군,856850.0,1636550.0
나라568367,8,0,0,0,0,신안군,856850.0,1636750.0
나라569366,1,0,0,0,0,신안군,856950.0,1636650.0
나라569374,1,0,0,0,0,신안군,856950.0,1637450.0
나라569429,1,0,0,0,1,신안군,856950.0,1642950.0
나라570374,2,2,0,0,0,신안군,857050.0,1637450.0
나라572431,1,0,0,0,0,신안군,857250.0,1643150.0
나라576433,1,0,0,0,0,신안군,857650.0,1643350.0
나라577317,1,0,0,0,0,신안군,857750.0,1631750.0
나라577318,1,0,0,0,0,신안군,857750.0,1631850.0
나라578322,1,0,0,0,0,신안군,857850.0,1632250.0
나라579354,1,0,0,0,0,신안군,857950.0,1635450.0
나라579373,1,0,0,0,0,신안군,857950.0,1637350.0
나라580352,1,0,0,0,0,신안군,858050.0,1635250.0
나라580353,1,0,0,0,0,신안군,858050.0,1635350.0
나라580354,1,0,0,0,0,신안군,858050.0,1635450.0
나라580432,1,0,0,0,0,신안군,858050.0,1643250.0
나라581352,2,0,0,0,0,신안군,858150.0,1635250.0
나라581353,4,0,0,5,0,신안군,858150.0,1635350.0
나라582353,4,2,0,0,1,신안군,858250.0,1635350.0
나라582432,1,0,0,0,0,신안군,858250.0,1643250.0
나라583352,1,0,0,0,0,신안군,858350.0,1635250.0
나라583353,6,0,0,4,0,신안군,858350.0,1635350.0
나라583362,1,0,0,0,0,신안군,858350.0,1636250.0
나라584352,2,0,0,0,0,신안군,858450.0,1635250.0
나라584353,1,3,0,0,0,신안군,858450.0,1635350.0
나라585328,1,0,0,0,0,신안군,858550.0,1632850.0
나라586442,4,0,0,0,0,신안군,858650.0,1644250.0
나라588445,1,0,0,0,0,신안군,858850.0,1644550.0
나라591339,1,0,0,0,0,신안군,859150.0,1633950.0
나라591445,1,0,0,0,0,신안군,859150.0,1644550.0
나라591446,3,0,0,0,0,신안군,859150.0,1644650.0
나라592443,1,0,0,0,0,신안군,859250.0,1644350.0
나라594338,1,0,0,0,0,신안군,859450.0,1633850.0
나라596282,1,0,0,0,0,신안군,859650.0,1628250.0
나라599374,1,0,0,0,0,신안군,859950.0,1637450.0
나라599435,1,0,0,0,0,신안군,859950.0,1643550.0
나라600425,1,0,0,0,0,신안군,860050.0,1642550.0
나라600434,1,0,0,0,0,신안군,860050.0,1643450.0
나라600437,1,0,0,0,0,신안군,860050.0,1643750.0
나라601435,2,0,0,0,0,신안군,860150.0,1643550.0
나라605310,1,0,0,0,0,신안군,860550.0,1631050.0
나라606430,1,0,0,0,0,신안군,860650.0,1643050.0
나라609443,2,0,0,1,0,신안군,860950.0,1644350.0
나라609445,1,0,0,0,0,신안군,860950.0,1644550.0
나라610443,1,0,0,0,0,신안군,861050.0,1644350.0
나라611426,1,0,0,0,0,신안군,861150.0,1642650.0
나라612540,2,0,0,0,0,신안군,861250.0,1654050.0
나라613538,3,0,0,0,0,신안군,861350.0,1653850.0
나라613539,1,0,0,0,0,신안군,861350.0,1653950.0
나라613540,2,0,0,0,0,신안군,861350.0,1654050.0
나라614539,1,0,0,0,0,신안군,861450.0,1653950.0
나라615541,1,0,0,0,0,신안군,861550.0,1654150.0
나라623541,1,0,0,0,0,신안군,862350.0,1654150.0
나라625418,3,2,0,0,1,신안군,862550.0,1641850.0
나라625547,1,0,0,0,0,신안군,862550.0,1654750.0
나라627551,1,0,0,0,0,신안군,862750.0,1655150.0
나라629243,1,0,0,0,0,신안군,862950.0,1624350.0
나라637553,1,0,0,0,0,신안군,863750.0,1655350.0
나라641531,1,0,0,0,0,신안군,864150.0,1653150.0
나라646215,1,0,0,0,0,신안군,864650.0,1621550.0
나라646256,3,0,0,0,0,신안군,864650.0,1625650.0
나라650524,1,0,0,0,0,신안군,865050.0,1652450.0
나라651274,1,0,0,0,0,신안군,865150.0,1627450.0
나라655235,1,0,0,0,0,신안군,865550.0,1623550.0
나라655239,1,0,0,0,0,신안군,865550.0,1623950.0
나라655264,1,0,0,0,0,신안군,865550.0,1626450.0
나라657239,1,0,0,0,0,신안군,865750.0,1623950.0
나라657243,1,1,0,0,0,신안군,865750.0,1624350.0
나라657246,1,0,0,0,0,신안군,865750.0,1624650.0
나라657247,2,1,0,0,0,신안군,865750.0,1624750.0
나라658245,4,1,0,0,0,신안군,865850.0,1624550.0
나라658246,5,6,0,4,0,신안군,865850.0,1624650.0
나라658247,1,0,0,0,0,신안군,865850.0,1624750.0
나라658777,1,0,0,0,0,신안군,865850.0,1677750.0
나라659246,5,2,0,3,1,신안군,865950.0,1624650.0
나라659247,4,1,1,8,1,신안군,865950.0,1624750.0
나라659573,1,0,0,0,0,신안군,865950.0,1657350.0
나라659778,1,0,0,0,0,신안군,865950.0,1677850.0
나라660247,1,3,0,0,0,,866050.0,1624750.0
나라6609,1,0,0,0,0,진도군,866500.0,1609500.0
나라663094,1,0,0,0,0,진도군,866350.0,1609450.0
나라663551,1,0,0,0,0,신안군,866350.0,1655150.0
나라663553,1,0,0,0,0,신안군,866350.0,1655350.0
나라664516,1,0,0,0,0,신안군,866450.0,1651650.0
나라665094,1,0,0,0,0,진도군,866550.0,1609450.0
나라665515,7,0,1,0,0,신안군,866550.0,1651550.0
나라665586,1,0,0,0,0,신안군,866550.0,1658650.0
나라665588,1,4,1,0,0,신안군,866550.0,1658850.0
나라666517,1,0,0,0,0,신안군,866650.0,1651750.0
나라666558,1,0,0,0,0,신안군,866650.0,1655850.0
나라666561,2,0,0,0,0,신안군,866650.0,1656150.0
나라666572,1,5,0,0,0,신안군,866650.0,1657250.0
나라666587,1,1,0,0,0,신안군,866650.0,1658750.0
나라666589,1,3,0,0,0,신안군,866650.0,1658950.0
나라667218,1,0,0,0,0,신안군,866750.0,1621850.0
나라668105,1,0,0,0,0,진도군,866850.0,1610550.0
나라668235,1,1,0,0,0,신안군,866850.0,1623550.0
나라668758,1,0,0,0,0,신안군,866850.0,1675850.0
나라669095,1,0,0,0,0,진도군,866950.0,1609550.0
나라669555,1,0,0,0,0,신안군,866950.0,1655550.0
나라669556,1,7,0,2,0,신안군,866950.0,1655650.0
나라670552,3,0,0,0,0,신안군,867050.0,1655250.0
나라670553,9,4,0,3,0,신안군,867050.0,1655350.0
나라670554,12,3,1,3,0,신안군,867050.0,1655450.0
나라670555,4,0,0,1,0,신안군,867050.0,1655550.0
나라670556,2,0,0,0,0,신안군,867050.0,1655650.0
나라671552,3,0,0,0,0,신안군,867150.0,1655250.0
나라671553,4,4,0,5,1,신안군,867150.0,1655350.0
나라671556,4,0,0,0,0,신안군,867150.0,1655650.0
나라672203,1,1,0,0,0,신안군,867250.0,1620350.0
나라672537,1,0,0,0,0,신안군,867250.0,1653750.0
나라672547,1,0,0,0,0,신안군,867250.0,1654750.0
나라672557,1,0,0,0,0,신안군,867250.0,1655750.0
나라673553,2,0,0,0,0,신안군,867350.0,1655350.0
나라674557,1,0,0,0,0,신안군,867450.0,1655750.0
나라675101,1,0,0,0,0,진도군,867550.0,1610150.0
나라6755,1,0,0,0,0,신안군,867500.0,1655500.0
나라676526,2,0,0,0,0,신안군,867650.0,1652650.0
나라677527,3,0,0,0,0,신안군,867750.0,1652750.0
나라677528,1,0,0,0,0,신안군,867750.0,1652850.0
나라678256,1,1,0,0,0,신안군,867850.0,1625650.0
나라680527,2,2,0,0,0,신안군,868050.0,1652750.0
나라680528,1,0,0,0,0,신안군,868050.0,1652850.0
나라680579,1,0,0,0,0,신안군,868050.0,1657950.0
나라681533,1,0,0,0,0,신안군,868150.0,1653350.0
나라681790,2,0,0,1,0,신안군,868150.0,1679050.0
나라682527,1,0,0,0,0,신안군,868250.0,1652750.0
나라682588,1,0,0,0,0,신안군,868250.0,1658850.0
나라682756,1,0,0,0,0,신안군,868250.0,1675650.0
나라682790,1,0,0,0,0,신안군,868250.0,1679050.0
나라682791,1,0,0,0,0,신안군,868250.0,1679150.0
나라683530,1,0,0,0,0,신안군,868350.0,1653050.0
