grid_id,cnt_store,cnt_112,cnt_5crime,cnt_cctv,cnt_patrol,sigungu,x_center,y_center,hotspot,z_112,z_5crime,z_cctv,z_patrol,need_score,rank_in_sigungu
다라804237,22,26,0,4,0,고흥군,980450.0,1623750.0,True,1.4499243735027947,-0.5148400149209998,0.29812955082025455,-0.5979513685996171,1.084995267471476,17
다라801237,24,37,0,10,0,고흥군,980150.0,1623750.0,True,2.393396289782078,-0.5148400149209998,2.275199203628259,-0.5979513685996171,1.0399323573467572,18
다라802239,33,11,1,4,0,고흥군,980250.0,1623950.0,True,0.16337176039468113,0.7137554752313862,0.29812955082025455,-0.5979513685996171,1.0270381445157486,19
다라803237,49,21,1,5,1,고흥군,980350.0,1623750.0,True,1.021073502466757,0.7137554752313862,0.6276411596215885,1.0119177007070443,0.9150495475338267,20
다라668153,12,2,1,0,0,고흥군,966850.0,1615350.0,True,-0.608559807470187,0.7137554752313862,-1.0199168843850814,-0.5979513685996171,0.9141297942535485,21
다라670147,11,16,0,0,0,고흥군,967050.0,1614750.0,True,0.592222631430719,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,0.8863167430020684,22
다라800236,10,11,1,5,0,고흥군,980050.0,1623650.0,True,0.16337176039468113,0.7137554752313862,0.6276411596215885,-0.5979513685996171,0.8622823401150816,23
다라961077,7,15,0,0,0,고흥군,996150.0,1607750.0,True,0.5064524572235114,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,0.8005465687948607,24
다라670146,11,6,1,3,0,고흥군,967050.0,1614650.0,True,-0.26547911064135676,0.7137554752313862,-0.031382057981079466,-0.5979513685996171,0.7629430778803776,25
다라800235,10,3,1,2,0,고흥군,980050.0,1623550.0,True,-0.5227896332629794,0.7137554752313862,-0.36089366678241347,-0.5979513685996171,0.670388359659422,26
다라798237,29,25,0,6,0,고흥군,979850.0,1623750.0,True,1.3641541992955872,-0.5148400149209998,0.9571527684229225,-0.5979513685996171,0.6697134844629347,27
다라797236,6,1,1,1,0,고흥군,979750.0,1623650.0,True,-0.6943299816773947,0.7137554752313862,-0.6904052755837475,-0.5979513685996171,0.6636038156456738,28
다라797237,12,3,1,3,0,고흥군,979750.0,1623750.0,True,-0.5227896332629794,0.7137554752313862,-0.031382057981079466,-0.5979513685996171,0.505632555258755,29
다라666151,28,17,0,3,0,고흥군,966650.0,1615150.0,True,0.6779928056379266,-0.5148400149209998,-0.031382057981079466,-0.5979513685996171,0.477819504007275,30
다라666150,26,18,1,2,2,고흥군,966650.0,1615050.0,True,0.7637629798451342,0.7137554752313862,-0.36089366678241347,2.6217867700137054,0.34707190346087446,31
다라806239,15,12,1,4,1,고흥군,980650.0,1623950.0,True,0.24914193460188871,0.7137554752313862,0.29812955082025455,1.0119177007070443,0.3078737840696254,32
다라668149,34,15,0,3,0,고흥군,966850.0,1614950.0,True,0.5064524572235114,-0.5148400149209998,-0.031382057981079466,-0.5979513685996171,0.30627915559285984,33
다라667150,22,9,0,0,0,고흥군,966750.0,1615050.0,True,-0.008168588019734026,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,0.2859255235516153,34
다라847427,8,6,1,2,1,고흥군,984750.0,1642750.0,True,-0.26547911064135676,0.7137554752313862,-0.36089366678241347,1.0119177007070443,0.12276434762771393,35
다라668148,14,9,0,1,0,고흥군,966850.0,1614850.0,True,-0.008168588019734026,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,0.12116971915094837,36
다라669148,11,7,0,0,0,고흥군,966950.0,1614850.0,True,-0.17970893643414917,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,0.1143851751372002,37
다라801238,8,7,0,0,0,고흥군,980150.0,1623850.0,True,-0.17970893643414917,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,0.1143851751372002,37
다라847429,9,9,0,2,0,고흥군,984750.0,1642950.0,True,-0.008168588019734026,-0.5148400149209998,-0.36089366678241347,-0.5979513685996171,-0.04358608524971869,38
다라665148,45,14,0,5,0,고흥군,966550.0,1614850.0,True,0.42068228301630384,-0.5148400149209998,0.6276411596215885,-0.5979513685996171,-0.10900262741568173,39
다라872315,12,4,0,0,0,고흥군,987250.0,1631550.0,True,-0.4370194590557719,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.14292534748442248,40
다라667152,6,4,0,0,0,고흥군,966750.0,1615250.0,True,-0.4370194590557719,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.14292534748442248,40
다라663149,23,12,1,7,1,고흥군,966350.0,1614950.0,True,0.24914193460188871,0.7137554752313862,1.2866643772242565,1.0119177007070443,-0.18639362913237556,41
다라806236,18,13,0,5,0,고흥군,980650.0,1623650.0,True,0.3349121088090963,-0.5148400149209998,0.6276411596215885,-0.5979513685996171,-0.1947728016228893,42
다라872317,8,7,0,2,0,고흥군,987250.0,1631750.0,True,-0.17970893643414917,-0.5148400149209998,-0.36089366678241347,-0.5979513685996171,-0.2151264336641338,43
다라668150,15,5,0,1,0,고흥군,966850.0,1615050.0,True,-0.3512492848485643,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.22191097767788187,44
다라672145,13,5,0,1,0,고흥군,967250.0,1614550.0,True,-0.3512492848485643,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.22191097767788187,44
다라801239,11,5,0,1,0,고흥군,980150.0,1623950.0,True,-0.3512492848485643,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.22191097767788187,44
다라670148,10,5,0,1,0,고흥군,967050.0,1614850.0,True,-0.3512492848485643,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.22191097767788187,44
다라960078,9,3,0,0,0,고흥군,996050.0,1607850.0,True,-0.5227896332629794,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.22869552169163004,45
다라661149,11,1,1,2,1,고흥군,966150.0,1614950.0,True,-0.6943299816773947,0.7137554752313862,-0.36089366678241347,1.0119177007070443,-0.306086523408324,46
다라800238,9,2,0,0,0,고흥군,980050.0,1623850.0,True,-0.608559807470187,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.3144656958988375,47
다라957079,9,2,0,0,0,고흥군,995750.0,1607950.0,True,-0.608559807470187,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.3144656958988375,47
다라667148,8,2,0,0,0,고흥군,966750.0,1614850.0,True,-0.608559807470187,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.3144656958988375,47
다라802238,29,9,0,4,0,고흥군,980250.0,1623850.0,True,-0.008168588019734026,-0.5148400149209998,0.29812955082025455,-0.5979513685996171,-0.3730976940510527,48
다라670149,8,7,0,3,0,고흥군,967050.0,1614950.0,True,-0.17970893643414917,-0.5148400149209998,-0.031382057981079466,-0.5979513685996171,-0.37988223806480076,49
다라802240,11,3,0,1,0,고흥군,980250.0,1624050.0,True,-0.5227896332629794,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.393451326092297,50
다라806238,9,3,0,1,0,고흥군,980650.0,1623850.0,True,-0.5227896332629794,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.393451326092297,50
다라853196,8,3,0,1,0,고흥군,985350.0,1619650.0,True,-0.5227896332629794,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.393451326092297,50
다라805241,6,3,0,1,0,고흥군,980550.0,1624150.0,True,-0.5227896332629794,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.393451326092297,50
다라667151,22,1,0,0,0,고흥군,966750.0,1615150.0,True,-0.6943299816773947,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.4002358701060454,51
다라799238,13,1,0,0,0,고흥군,979950.0,1623850.0,True,-0.6943299816773947,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.4002358701060454,51
다라803240,11,1,0,0,0,고흥군,980350.0,1624050.0,True,-0.6943299816773947,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.4002358701060454,51
다라669149,8,1,0,0,0,고흥군,966950.0,1614950.0,True,-0.6943299816773947,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.4002358701060454,51
다라670150,8,6,0,3,0,고흥군,967050.0,1615050.0,True,-0.26547911064135676,-0.5148400149209998,-0.031382057981079466,-0.5979513685996171,-0.4656524122720083,52
다라795234,14,4,0,2,0,고흥군,979550.0,1623450.0,True,-0.4370194590557719,-0.5148400149209998,-0.36089366678241347,-0.5979513685996171,-0.4724369562857565,53
다라804239,14,2,0,1,0,고흥군,980450.0,1623950.0,True,-0.608559807470187,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.47922150029950444,54
다라873317,13,2,0,1,0,고흥군,987350.0,1631750.0,True,-0.608559807470187,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.47922150029950444,54
다라657076,8,2,0,1,0,고흥군,965750.0,1607650.0,True,-0.608559807470187,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.47922150029950444,54
다라890286,7,0,0,0,0,고흥군,989050.0,1628650.0,True,-0.7801001558846022,-0.5148400149209998,-1.0199168843850814,-0.5979513685996171,-0.48600604431325284,55
다라854195,7,13,0,2,1,고흥군,985450.0,1619550.0,True,0.3349121088090963,-0.5148400149209998,-0.36089366678241347,1.0119177007070443,-0.505439923074219,56
다라807243,6,1,0,1,0,고흥군,980750.0,1624350.0,True,-0.6943299816773947,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.5649916745067123,57
다라803238,11,8,0,0,1,고흥군,980350.0,1623850.0,True,-0.0939387622269416,-0.5148400149209998,-1.0199168843850814,1.0119177007070443,-0.6047791853089229,58
다라834129,8,10,0,6,0,고흥군,983450.0,1612950.0,True,0.07760158618747355,-0.5148400149209998,0.9571527684229225,-0.5979513685996171,-0.6168391286451791,59
다라666148,8,2,0,2,0,고흥군,966650.0,1614850.0,True,-0.608559807470187,-0.5148400149209998,-0.36089366678241347,-0.5979513685996171,-0.6439773047001716,60
다라674145,11,0,0,1,0,고흥군,967450.0,1614550.0,True,-0.7801001558846022,-0.5148400149209998,-0.6904052755837475,-0.5979513685996171,-0.6507618487139197,61
다라808235,8,7,0,5,0,고흥군,980850.0,1623550.0,True,-0.17970893643414917,-0.5148400149209998,0.6276411596215885,-0.5979513685996171,-0.7093938468661347,62
